"id","menunummer","menu_toevoeging","naam","price","soortgerecht","beschrijving"
"1","1",NULL,"Soep Ling Fa","3.8","SOEP",NULL
"2","2",NULL,"Kippensoep","2.9","SOEP",
"3","3",NULL,"Tomatensoep","2.9","SOEP",NULL
"4","4",NULL,"Haaienvinnensoep","3.1","SOEP",NULL
"5","5",NULL,"Champignonsoep","3.3","SOEP",NULL
"6","6",NULL,"Pekingsoep","3.8","SOEP",NULL
"7","7",NULL,"Wan Tan Soep","4.3","SOEP",NULL
"8","8",NULL,"Chinese Champignonsoep","4.1","SOEP",NULL
"9","10",NULL,"Loempia Ling Fa","6.2","VOORGERECHT","met atjar, ananas en pindasaus"
"10","11",NULL,"Loempia Compleet","6.2","VOORGERECHT","met gesmoord rundvlees en pikante saus"
"11","12",NULL,"Loempia met Kip","3.9","VOORGERECHT",NULL
"12","13",NULL,"Loempia","3.8","VOORGERECHT",NULL
"13","14",NULL,"Chinese mini loempia","4.9","VOORGERECHT","4 st."
"14","14","A","Vegetarische mini loempia","4.9","VOORGERECHT","12 st."
"15","15",NULL,"Kroepoek","2.5","VOORGERECHT",NULL
"16","15","A","Casave Kroepoek","2.7","VOORGERECHT",NULL
"17","16",NULL,"Pangsit Goreng","3.9","VOORGERECHT","7 st."
"18","17",NULL,"Pisang Goreng","3.4","VOORGERECHT","5 st."
"19","18",NULL,"Chinese Dim Sum","5.4","VOORGERECHT","mini loempia, kerry ko, pangsit goreng, garnalenpasteitje"
"20","19",NULL,"Saté; Babi","5.4","VOORGERECHT","4 st."
"21","20",NULL,"Saté; Ajam","5.4","VOORGERECHT","4 st."
"22","20","A","Saté; Garnalen","9.9","VOORGERECHT","3 st."
"23","21",NULL,"Fong Mei Ha","8.1","VOORGERECHT","krokant gepaneerd garnalen. 4 st."
"24","22",NULL,"Patat","2.3","VOORGERECHT",NULL
"25","23",NULL,"Tsa Siu Mai","3.5","VOORGERECHT","gebakken vleespasteitje. 4 st."
"26","24",NULL,"Atjar","3","VOORGERECHT",NULL
"27","25",NULL,"Witte Rijst","3","VOORGERECHT",NULL
"28","26",NULL,"Grote pindasaus","3.9","VOORGERECHT",NULL
"29","27",NULL,"Kleine pindasaus","2.3","VOORGERECHT",NULL
"30","28",NULL,"Kippenpootje","2.3","VOORGERECHT",NULL
"31","29",NULL,"Halve kip","6","VOORGERECHT",NULL
"32","29","H","Kroket","1.4","VOORGERECHT",NULL
"33","29","G","Frikandel","1.4","VOORGERECHT",NULL
"34","180","H","Kleine Sambal","2.5","VOORGERECHT",NULL
"35","30",NULL,"Bami of Nasi Goreng Ling Fa","14.3","BAMI EN NASI GERECHTEN","Foe Yong Hai, Babi Pangang, saté; en kippenpootje"
"36","31",NULL,"Bami of Nasi Goreng met ei","5","BAMI EN NASI GERECHTEN",NULL
"37","32",NULL,"Bami of Nasi Goreng speciaal","8.5","BAMI EN NASI GERECHTEN",NULL
"38","33",NULL,"Bami of Nasi Goreng met saté;","8.5","BAMI EN NASI GERECHTEN","3 st."
"39","34",NULL,"Nasi Yeung Chow","10.9","BAMI EN NASI GERECHTEN",NULL
"40","34","A","Nasi Yeung Chow","13","BAMI EN NASI GERECHTEN","met garnaaltjes en Cha Sieuw-vlees"
"41","35",NULL,"Bami of Nasi Malay","9.3","BAMI EN NASI GERECHTEN",NULL
"42","36",NULL,"Bami of Nasi met kipfilet","9.3","BAMI EN NASI GERECHTEN",NULL
"43","37",NULL,"Bami of Nasi met varkensvlees","9.3","BAMI EN NASI GERECHTEN",NULL
"44","38",NULL,"Bami of Nasi met garnalen","14.3","BAMI EN NASI GERECHTEN",NULL
"45","39",NULL,"Bami of Nasi met ossenhaas","15.3","BAMI EN NASI GERECHTEN",NULL
"46","40",NULL,"Babi Pangang, Foe Yong Hani en saté;","15.8","COMBINATIE GERECHTEN (met witte rijst)",NULL
"47","41",NULL,"Babi Pangang, Tjap Tjoy en saté;","15.8","COMBINATIE GERECHTEN (met witte rijst)",NULL
"48","42",NULL,"Babi Pangang, Koe Loe Yuk en saté;","15.8","COMBINATIE GERECHTEN (met witte rijst)",NULL
"49","43",NULL,"Babi Pangang, Tau Sie Kai en saté;","16.5","COMBINATIE GERECHTEN (met witte rijst)",NULL
"50","44",NULL,"Koe Loe Yuk, Foe Yong Hai en saté;","15.8","COMBINATIE GERECHTEN (met witte rijst)",NULL
"51","45",NULL,"Koe Loe Yuk, Tjap Tjoy en saté;","15.8","COMBINATIE GERECHTEN (met witte rijst)",NULL
"52","46",NULL,"Foe Yong Hai, Tjap Tjoy en saté;","15.8","COMBINATIE GERECHTEN (met witte rijst)",NULL
"53","47",NULL,"Foe Yong Hai, Kip Kerrie en Saté;","16.5","COMBINATIE GERECHTEN (met witte rijst)",NULL
"54","50",NULL,"Mihoen Ling Fa","16.4","MIHOEN GERECHTEN","Foe Yong Hai, Babi Pangang, saté; en kippenpootje"
"55","51",NULL,"Mihoen met varkensvlees","9.3","MIHOEN GERECHTEN",NULL
"56","52",NULL,"Mihoen met kipfilet","10.4","MIHOEN GERECHTEN",NULL
"57","53",NULL,"Mihoen met ossenhaas","16.4","MIHOEN GERECHTEN",NULL
"58","54",NULL,"Mihoen met garnalen","15.3","MIHOEN GERECHTEN",NULL
"59","55",NULL,"Mihoen Singapore-style","11.9","MIHOEN GERECHTEN","met kleine garnaaltjes en Cha Sieuw-vlees en kerrie poeder"
"60","56",NULL,"Mihoen met Cha Sieuw vlees","11.2","MIHOEN GERECHTEN",NULL
"61","57",NULL,"Chinese Bami Ling Fa","16.9","CHINESE BAMI GERECHTEN","Foe Yong Hai, Babi Pangang, saté; en kippenpootje"
"62","58",NULL,"Chinese Bami met varkensvlees","10.1","CHINESE BAMI GERECHTEN",NULL
"63","58","A","Chinese Bami met kipfilet","11.2","CHINESE BAMI GERECHTEN",NULL
"64","58","B","Chinese Bami met Cha Sieuw-vlees","12.2","CHINESE BAMI GERECHTEN",NULL
"65","58","C","Chinese Bami met garnalen","15.8","CHINESE BAMI GERECHTEN",NULL
"66","58","D","Chinese Bami met ossenhaas","17.4","CHINESE BAMI GERECHTEN",NULL
"67",NULL,"M1","Bami of Nasi Rames Ling Fa","15.3","INDISCHE GERECHTEN","Babi Pangan, Foe Yong Hai, Daging Roedjak, Atjar en kippootje"
"68",NULL,"M2","Bami of Nasi Rames","8.8","INDISCHE GERECHTEN",NULL
"69",NULL,"M3","Bami of Nasi Rames speciaal","10.8","INDISCHE GERECHTEN",NULL
"70",NULL,"M4","Gado Gado","7.6","INDISCHE GERECHTEN","met witte rijst"
"71",NULL,"M5","Daging Smoor","13.3","INDISCHE GERECHTEN","met witte rijst"
"72",NULL,"M6","Daging Roedjak","13.3","INDISCHE GERECHTEN","met witte rijst"
"73","59",NULL,"Foe Yong Hai Ling Fa","16.4","EIERGERECHTEN (met witte rijst)","ossenhaas, garnalen en kipfilet"
"74","60",NULL,"Foe Yong Hai met varkensvlees","8.8","EIERGERECHTEN (met witte rijst)",NULL
"75","61",NULL,"Foe Yong Hai met kipfilet","9.2","EIERGERECHTEN (met witte rijst)",NULL
"76","62",NULL,"Foe Yong Hai met garnalen","15.3","EIERGERECHTEN (met witte rijst)",NULL
"77","63",NULL,"Foe Yong Hai met krab","15.3","EIERGERECHTEN (met witte rijst)",NULL
"78","63","A","Foe Yong Hai met Cha Sieuw Vlees","11.2","EIERGERECHTEN (met witte rijst)",NULL
"79","63","B","Foe Yong Hai met ossenhaas","16.4","EIERGERECHTEN (met witte rijst)",NULL
"80","64",NULL,"Tjap Tjoy Ling Fa","16.4","GROENTEN GERECHTEN (met witte rijst)","ossenhaas, garnalen en kipfilet"
"81","65",NULL,"Tjap Tjoy met varkensvlees","8.8","GROENTEN GERECHTEN (met witte rijst)",NULL
"82","66",NULL,"Tjap Tjoy met kipfilet","9.2","GROENTEN GERECHTEN (met witte rijst)",NULL
"83","67",NULL,"Tjap Tjoy met ossenhaas","16.4","GROENTEN GERECHTEN (met witte rijst)",NULL
"84","68",NULL,"Tjap Tjoy met garnalen","15.3","GROENTEN GERECHTEN (met witte rijst)",NULL
"85","70",NULL,"Babi Pangang","12.2","VLEES GERECHTEN (met witte rijst)",NULL
"86","71",NULL,"Babi Pangang in ketjapsaus","12.3","VLEES GERECHTEN (met witte rijst)",NULL
"87","72",NULL,"Cha Sieuw","13.3","VLEES GERECHTEN (met witte rijst)","rood geroosterd varkensvlees"
"88","73",NULL,"Cha Sieuw in pikante saus","13.8","VLEES GERECHTEN (met witte rijst)",NULL
"89","74",NULL,"Geroosterde speenvarken","13.8","VLEES GERECHTEN (met witte rijst)",NULL
"90","75",NULL,"Koe Loe Yuk","11.9","VLEES GERECHTEN (met witte rijst)","bolletjes vlees met zoetzure saus"
"91","76",NULL,"Varkenshaas met kerriesaus","11.9","VLEES GERECHTEN (met witte rijst)",NULL
"92","77",NULL,"Varkenshaas met ketjapsaus","11.9","VLEES GERECHTEN (met witte rijst)",NULL
"93","78",NULL,"Varkenshaas met tomatensaus","11.9","VLEES GERECHTEN (met witte rijst)",NULL
"94","78","A","Varkenshaas met champignons in knoflooksaus","11.9","VLEES GERECHTEN (met witte rijst)",NULL
"95","78","B","Varkenshaas met Chinese champignons","12.2","VLEES GERECHTEN (met witte rijst)",NULL
"96","79",NULL,"Varkenshaas met zwarte bonensaus","12.2","VLEES GERECHTEN (met witte rijst)",NULL
